자치구,14'발생,14'검거율,15'발생,15'검거율,16'발생,16'검거율,17'발생,17'검거율,18'발생,18'검거율,19'발생,19'검거율,20'발생,20'검거율,21'발생,21'검거율,22'발생,22'검거율,14'cctv,15'cctv,16'cctv,17'cctv,18'cctv,19'cctv,20'cctv,21'cctv,22'cctv,14'인구,14'인구밀도 ,15'인구,15'인구밀도,16'인구,16'인구밀도,17'인구,17'인구밀도,18'인구,18'인구밀도,19'인구,19'인구밀도,20'인구,20'인구밀도,21'인구,21'인구밀도,22'인구,22'인구밀도,14'보류,15'보류,16'보류,17'보류,18'보류,19'보류,20'보류,21'보류,22'보류,14'경찰관,15'경찰관,16'경찰관,17'경찰관,18'경찰관,19'경찰관,20'경찰관,21'경찰관,22'경찰관
노원구,5312,0.6212349397590361,5130,0.6370370370370371,4543,0.6649790887079022,4209,0.7239249227845094,4007,0.680059895183429,4153,0.713700939080183,3743,0.6895538338231365,3425,0.6721167883211678,3896,0.6778747433264887,75,509,329,171,216,324,387,215,144,586056,16538,578221,16317,571212,16119,558075,15748,548160,15468,537303,15162,527032,14872,514946,14530,508014,14335,20,20,20,20,19,18,17,17,17,751,756,798,811,833,809,804,810,824
은평구,5431,0.612226109372123,4745,0.6674394099051634,4501,0.744945567651633,3883,0.8259078032449138,3590,0.7974930362116992,3880,0.7731958762886598,3390,0.7466076696165191,3244,0.7469173859432799,3487,0.7622598221967307,332,329,555,403,635,"1,057",288,471,522,503243,16943,502578,16920,495937,16696,491202,16534,487666,16415,484546,16308,484043,16292,477173,16061,470602,15838,22,22,22,22,22,22,22,22,22,862,855,890,917,945,925,907,926,945
서대문구,4194,0.6170720076299475,4029,0.6401092082402581,3665,0.696862210095498,3113,0.7385159010600707,2802,0.7194860813704497,2943,0.6863744478423377,2533,0.673509672325306,2278,0.6997366110623354,2374,0.6760741364785172,114,109,277,416,246,325,441,331,174,320861,18225,323105,18351,325871,18506,325028,18440,323080,18331,323171,18335,322952,18322,315659,17908,319554,18129,13,13,13,13,13,13,12,12,12,641,646,678,682,688,674,681,692,679
마포구,5740,0.5463414634146342,5854,0.6144516569866758,5873,0.6420909245700664,5278,0.662940507768094,5172,0.690061871616396,4842,0.6546881453944651,3688,0.6870932754880694,3540,0.6720338983050848,4096,0.68701171875,109,170,458,376,368,494,298,177,117,395830,16607,398351,16706,390887,16394,385783,16174,386359,16199,385925,16180,381858,16011,378686,15878,375585,15745,17,19,18,18,18,16,16,16,16,749,787,853,858,884,883,891,902,924
양천구,4642,0.5717363205514864,4528,0.6216872791519434,4112,0.6792315175097277,3882,0.6852138073158166,3515,0.6995732574679943,3214,0.6608587429993777,3216,0.6486318407960199,3015,0.6915422885572139,3169,0.6721363206058694,129,243,423,564,833,311,352,374,292,490708,28196,489010,28098,481845,27681,475018,27289,468145,26894,462285,26559,457781,26301,450487,25882,444010,25509,19,19,18,18,16,17,16,16,16,715,723,759,771,787,773,753,754,764
강서구,5289,0.6097560975609756,5585,0.7502238137869293,5450,0.7517431192660551,5135,0.7647517039922104,4629,0.7494059192050119,4924,0.7195369618196588,4415,0.7685164212910532,3896,0.7813141683778234,4663,0.7701050825648724,200,192,167,507,259,455,363,441,596,591653,14282,595691,14376,602104,14531,608255,14679,603611,14567,598273,14438,585901,14140,579768,13986,574638,13862,15,14,14,13,13,13,13,13,14,804,828,881,902,944,941,939,946,963
구로구,5389,0.5539061050287623,5646,0.620262132483174,5366,0.697726425642937,4895,0.696220633299285,4810,0.693970893970894,4707,0.6991714467813894,4175,0.7147305389221557,3486,0.6973608720596672,3857,0.7083225304640912,160,263,351,559,542,789,652,689,341,457131,22721,454604,22596,449600,22347,441559,21946,438486,21793,439371,21837,432488,21496,421163,20933,418418,20794,19,19,20,18,17,17,18,18,18,712,730,763,749,768,752,737,761,772
금천구,3842,0.633524206142634,3781,0.7394869082253372,3645,0.7561042524005487,3265,0.7877488514548239,3293,0.7795323413300942,3105,0.7545893719806763,2598,0.7567359507313318,2439,0.7138171381713817,2577,0.7322467986030268,43,350,132,196,539,366,513,207,304,258030,19818,256167,19675,254654,19560,253491,19469,254021,19510,251820,19341,247835,19035,244891,18808,242818,18649,11,13,13,13,13,13,13,13,13,529,535,563,580,583,575,566,585,600
영등포구,7003,0.5814650863915465,6867,0.6049220911606232,6322,0.664188547927871,5969,0.6721393868319652,5840,0.6715753424657535,5820,0.6506872852233677,5217,0.6461567950929653,4179,0.6645130413974635,4819,0.6611330151483711,295,360,285,422,803,153,1357,329,450,421436,17181,417811,17033,406779,16583,402024,16377,403600,16441,400986,16334,407367,16595,400908,16331,398085,16215,18,17,16,16,16,16,16,16,16,867,904,964,971,980,990,1010,1009,1008
동작구,3869,0.5975704316360817,4074,0.5883652430044183,3227,0.6693523396343353,3330,0.6732732732732732,3100,0.6741935483870968,3400,0.6455882352941177,3200,0.651875,2631,0.6951729380463701,2735,0.6365630712979891,478,127,255,270,299,311,433,30,373,419261,25637,412774,25240,413247,25269,408493,24978,409385,25032,408912,25003,401572,24555,394364,24113,390432,23870,17,17,17,18,18,18,18,18,18,630,637,672,670,678,674,668,672,687
